concrete_class,declaring_class,prop,attr,range,bucket,boundCodelist,boundCodelistNote
Address,Address,Address-country,country,Code,free_text,,Y (Point out to ISO 3166-1 Alpha-3 Country code)
AdministrableProduct,AdministrableProduct,AdministrableProduct-administrableDoseForm,administrableDoseForm,AliasCode,structured,C66726,Y (SDTM Terminology Codelist C66726)
AdministrableProduct,AdministrableProduct,AdministrableProduct-pharmacologicClass,pharmacologicClass,Code,free_text,,"Y (Points to external codelists such as UNII, MED-RT)"
AdministrableProduct,AdministrableProduct,AdministrableProduct-productDesignation,productDesignation,Code,structured,C207418,Y (C207418)
AdministrableProduct,AdministrableProduct,AdministrableProduct-sourcing,sourcing,Code,structured,C215483,Y (C215483)
AdministrableProductProperty,AdministrableProductProperty,AdministrableProductProperty-type,type,Code,structured,C215479,Y (C215479)
Administration,Administration,Administration-frequency,frequency,AliasCode,structured,C71113,Y (SDTM Terminology Codelist C71113)
Administration,Administration,Administration-route,route,AliasCode,structured,C66729,Y (SDTM Terminology Codelist C66729)
AliasCode,AliasCode,AliasCode-standardCode,standardCode,Code,unbound,,
AliasCode,AliasCode,AliasCode-standardCodeAliases,standardCodeAliases,Code,unbound,,
BiomedicalConcept,BiomedicalConcept,BiomedicalConcept-code,code,AliasCode,unbound,,
BiomedicalConceptCategory,BiomedicalConceptCategory,BiomedicalConceptCategory-code,code,AliasCode,unbound,,
BiomedicalConceptProperty,BiomedicalConceptProperty,BiomedicalConceptProperty-code,code,AliasCode,unbound,,
BiomedicalConceptProperty,BiomedicalConceptProperty,BiomedicalConceptProperty-responseCodes,responseCodes,ResponseCode,unbound,,
CommentAnnotation,CommentAnnotation,CommentAnnotation-codes,codes,Code,unbound,,
EligibilityCriterion,EligibilityCriterion,EligibilityCriterion-category,category,Code,structured,C66797,Y (SDTM Terminology Codelist C66797)
Encounter,Encounter,Encounter-contactModes,contactModes,Code,structured,C171445,Y (SDTM Terminology Codelist C171445)
Encounter,Encounter,Encounter-environmentalSettings,environmentalSettings,Code,structured,C127262,Y (SDTM Terminology Codelist C127262)
Encounter,Encounter,Encounter-type,type,Code,structured,C188728,Y (C188728)
Endpoint,Endpoint,Endpoint-level,level,Code,structured,C188726,Y (C188726)
ExtensionAttribute,ExtensionAttribute,ExtensionAttribute-valueAliasCode,valueAliasCode,AliasCode,unbound,,
ExtensionAttribute,ExtensionAttribute,ExtensionAttribute-valueCode,valueCode,Code,unbound,,
