domain,class_modifier,class_ncit,class_prefLabel,prop,label,range,cardinality,ncit,prefLabel,definition,relationshipType,modelName,modelRepresentation,boundCodelist,boundCodelistNote
Abbreviation,Concrete,C42610,Abbreviation,Abbreviation-id,Abbreviation-id,string,1,,,,Value,id,Attribute,,
Abbreviation,Concrete,C42610,Abbreviation,Abbreviation-abbreviatedText,Abbreviation-abbreviatedText,string,1,C215487,Text Abbreviation Value,The literal value of an instance of unstructured text that is used as the abbreviation.,Value,abbreviatedText,Attribute,,
Abbreviation,Concrete,C42610,Abbreviation,Abbreviation-expandedText,Abbreviation-expandedText,string,1,C215569,Abbreviation Long Name,The full literal representation of the abbreviation.,Value,expandedText,Attribute,,
Abbreviation,Concrete,C42610,Abbreviation,Abbreviation-instanceType,Abbreviation-instanceType,string,1,,,,Value,,,,
Activity,Concrete,C71473,Study Activity,Activity-id,Activity-id,string,1,,,,Value,id,Attribute,,
Activity,Concrete,C71473,Study Activity,Activity-name,Activity-name,string,1,C188842,Study Activity Name,"The literal identifier (i.e., distinctive designation) of the study activity.",Value,name,Attribute,,
Activity,Concrete,C71473,Study Activity,Activity-label,Activity-label,string,0..1,C207458,Study Activity Label,The short descriptive designation for the study activity.,Value,label,Attribute,,
Activity,Concrete,C71473,Study Activity,Activity-description,Activity-description,string,0..1,C70960,Study Activity Description,A narrative representation of the study activity.,Value,description,Attribute,,
Activity,Concrete,C71473,Study Activity,Activity-instanceType,Activity-instanceType,string,1,,,,Value,,,,
Address,Concrete,C25407,Address,Address-id,Address-id,string,1,,,,Value,id,Attribute,,
Address,Concrete,C25407,Address,Address-text,Address-text,string,0..1,C201311,Address Full Text,"A standardized representation of the complete set of components denoting the physical address of the person, business, building, or organization.",Value,text,Attribute,,
Address,Concrete,C25407,Address,Address-lines,Address-lines,string,0..*,C25690,Address Line,"The street name and number, building number, apartment or unit number, or post office box number where an entity is physically located.",Value,lines,Attribute,,
Address,Concrete,C25407,Address,Address-district,Address-district,string,0..1,C176229,District,"An administrative or territorial division of a city, town, county, parish, state, country, or other locality based on a shared characteristic.",Value,district,Attribute,,
Address,Concrete,C25407,Address,Address-city,Address-city,string,0..1,C25160,City,A relatively large and/or densely populated area of human habitation with administrative or legal status that may be specified as a component of a postal address.,Value,city,Attribute,,
