target_class,attribute,declaring_class,range_kind
Abbreviation,StudyVersion-abbreviations,StudyVersion,direct
Activity,Activity-childIds,Activity,direct
Activity,Activity-nextId,Activity,direct
Activity,Activity-previousId,Activity,direct
Activity,ScheduledActivityInstance-activityIds,ScheduledActivityInstance,direct
Activity,StudyDesign-activities,StudyDesign,direct
Activity,Condition-appliesToIds,Condition,via_union
Activity,Condition-contextIds,Condition,via_union
Address,Organization-legalAddress,Organization,direct
AdministrableProduct,Administration-administrableProductId,Administration,direct
AdministrableProduct,MedicalDevice-embeddedProductId,MedicalDevice,direct
AdministrableProduct,StudyVersion-administrableProducts,StudyVersion,direct
AdministrableProduct,ProductOrganizationRole-appliesToIds,ProductOrganizationRole,via_union
AdministrableProductIdentifier,AdministrableProduct-identifiers,AdministrableProduct,direct
AdministrableProductProperty,AdministrableProduct-properties,AdministrableProduct,direct
Administration,StudyIntervention-administrations,StudyIntervention,direct
AliasCode,AdministrableProduct-administrableDoseForm,AdministrableProduct,direct
AliasCode,Administration-frequency,Administration,direct
AliasCode,Administration-route,Administration,direct
AliasCode,BiomedicalConcept-code,BiomedicalConcept,direct
AliasCode,BiomedicalConceptCategory-code,BiomedicalConceptCategory,direct
AliasCode,BiomedicalConceptProperty-code,BiomedicalConceptProperty,direct
AliasCode,ExtensionAttribute-valueAliasCode,ExtensionAttribute,direct
AliasCode,GeographicScope-code,GeographicScope,direct
AliasCode,InterventionalStudyDesign-blindingSchema,InterventionalStudyDesign,direct
AliasCode,Quantity-unit,Quantity,direct
AliasCode,StudyDesign-studyPhase,StudyDesign,direct
AnalysisPopulation,Estimand-analysisPopulationId,Estimand,direct
AnalysisPopulation,InterventionalStudyDesign-analysisPopulations,InterventionalStudyDesign,direct
AnalysisPopulation,ObservationalStudyDesign-analysisPopulations,ObservationalStudyDesign,direct
AnalysisPopulation,StudyDesign-analysisPopulations,StudyDesign,direct
AssignedPerson,StudyRole-assignedPersons,StudyRole,direct
BiomedicalConcept,Activity-biomedicalConceptIds,Activity,direct
BiomedicalConcept,BiomedicalConceptCategory-memberIds,BiomedicalConceptCategory,direct
BiomedicalConcept,StudyVersion-biomedicalConcepts,StudyVersion,direct
BiomedicalConcept,Condition-appliesToIds,Condition,via_union
BiomedicalConceptCategory,Activity-bcCategoryIds,Activity,direct
BiomedicalConceptCategory,BiomedicalConceptCategory-childIds,BiomedicalConceptCategory,direct
BiomedicalConceptCategory,StudyVersion-bcCategories,StudyVersion,direct
BiomedicalConceptCategory,Condition-appliesToIds,Condition,via_union
BiomedicalConceptProperty,BiomedicalConcept-properties,BiomedicalConcept,direct
BiomedicalConceptSurrogate,Activity-bcSurrogateIds,Activity,direct
BiomedicalConceptSurrogate,StudyVersion-bcSurrogates,StudyVersion,direct
BiomedicalConceptSurrogate,Condition-appliesToIds,Condition,via_union
BiospecimenRetention,StudyDesign-biospecimenRetentions,StudyDesign,direct
Characteristic,StudyCohort-characteristics,StudyCohort,direct
Code,Address-country,Address,direct
Code,AdministrableProduct-pharmacologicClass,AdministrableProduct,direct
Code,AdministrableProduct-productDesignation,AdministrableProduct,direct
Code,AdministrableProduct-sourcing,AdministrableProduct,direct
Code,AdministrableProductProperty-type,AdministrableProductProperty,direct
Code,AliasCode-standardCode,AliasCode,direct
Code,AliasCode-standardCodeAliases,AliasCode,direct
Code,CommentAnnotation-codes,CommentAnnotation,direct
Code,EligibilityCriterion-category,EligibilityCriterion,direct
Code,Encounter-contactModes,Encounter,direct
Code,Encounter-environmentalSettings,Encounter,direct
